1;2017/10/08;18:00;U16 Eccellenza;Away;;A.S.D. CUNEO GRANDA BASKETBALL;BC GATORS;
2;2017/10/11;20:30;U18 Elite;Home ;PalaGiolitti - A;BC GATORS;A.S.D. B.E.A. Chieri;
3;2017/10/13;19:00;U18 Elite;Away;;C.R.F. FOSSANO;BC GATORS;
4;2017/10/13;21:00;C Silver;Away;;GALUP PINEROLO 87;BC GATORS;
5;2017/10/16;19:00;U16 Eccellenza;Home ;PalaGiolitti - B;BC GATORS;PALL. MONCALIERI S MAURO ssdrl;
6;2017/10/19;18:45;U18 Elite;Away;;A.S.D. VALENZA BASKET;BC GATORS;
7;2017/10/21;17:30;U16 Eccellenza;Away;;AUXILIUM PALLACANESTRO TORINO;BC GATORS;
8;2017/10/21;21:00;C Silver;Home ;PalaGiolitti - B;BC GATORS;A.D. USAC RIVAROLO BK 2009;
9;2017/10/23;20:30;U20 Reg;Home ;PalaGiolitti - A;BC GATORS;LIB. MONCALIERI;
10;2017/10/25;20:30;U18 Elite;Home ;PalaGiolitti - B;BC GATORS;A. DIL. VENARIA REALE PALL.;
11;2017/10/28;17:00;U16 Eccellenza;Home ;PalaGiolitti - B;BC GATORS;LETTERA 22 A.S.D.;
12;2017/10/28;19:00;U20 Reg;Away;;U.S. CONDOVE ASD;BC GATORS;
13;2017/10/28;21:15;C Silver;Away;;AMATORI BASKET SAVIGLIANO ASD;BC GATORS;
14;2017/11/01;18:30;U13 Reg;Away;;A.S.DIL. BASKET CLUB MONDOVI;BC GATORS;
15;2017/11/01;20:30;U18 Elite;Home ;PalaGiolitti - B;BC GATORS;A.S.DIL. KOLBE;
16;2017/11/03;21:15;U20 Reg;Away;;ABET BRA;BC GATORS;
17;2017/11/04;15:00;U14 Reg;Home ;PalaGiolitti - A;BC GATORS;A.S.DIL. BASKET CLUB MONDOVI;
18;2017/11/04;15:00;U13 Reg;Home ;PalaGiolitti - B;BC GATORS;A.S.C. SAVIGLIANO BK DIL. A;
19;2017/11/04;17:00;U16 Eccellenza;Home ;PalaGiolitti - B;BC GATORS;BLU SEA BASKET;
20;2017/11/04;21:00;C Silver;Away;;ASD S.E.A. BK SETTIMO TORINESE;BC GATORS;
21;2017/11/06;18:45;U14 Reg;Away;;OLIMPO BASKET ALBA;BC GATORS;
22;2017/11/10;20:00;U13 Reg;Away;;A.S.D. PALL. FARIGLIANO;BC GATORS;
23;2017/11/11;15:00;U14 Reg;Away;;A.BASKET CARMAGNOLA A.S.DIL.;BC GATORS;
24;2017/11/11;17:15;U18 Elite;Away;;POL.DIL. ATLAVIR;BC GATORS;
25;2017/11/11;17:30;U16 Eccellenza;Away;;PGS DON BOSCO CROCETTA A.S.D.;BC GATORS;
26;2017/11/12;18:00;C Silver;Home ;PalaGiolitti - A;BC GATORS;SERRAVALLE RETAIL PARK;
27;2017/11/13;18:45;CSI Juniores;Home ;PalaGiolitti - A;BC GATORS ;BAR DEL PESO;
28;2017/11/13;20:30;U20 Reg;Home ;PalaGiolitti - A;BC GATORS;AMATORI BASKET SAVIGLIANO ASD;
29;2017/11/15;18:20;U20 Reg;Away;;A.S.DIL. GINNASTICA TORINO;BC GATORS;
30;2017/11/15;18:45;CSI Ragazzi;Home ;PalaGiolitti - A;BC GATORS ;PGS VICTORIA ALBA;
31;2017/11/17;17:45;Esordienti;Home ;PalaGiolitti - B;BC GATORS;MB IGMB Beinette;
32;2017/11/18;15:00;U14 Reg;Home ;PalaGiolitti - A;BC GATORS;ASD B.C. GATORS;
33;2017/11/18;17:00;U16 Eccellenza;Away;;BANCA SELLA BIELLA;BC GATORS;
34;2017/11/18;17:30;CSI Allievi;Away;;CARAGLIO GOMME ;BC GATORS ;
35;2017/11/18;17:45;Aquilotti;Home ;PalaCava;MB Saluzzo;MB IGMB Cuneo/Borgo;
36;2017/11/19;18:00;C Silver;Away;;A.S.DIL. KOLBE;BC GATORS;
37;2017/11/20;18:45;CSI Allievi;Home ;PalaCava;BC GATORS ;CUNEO GRANDA BASKET ALLIEVI 2003;
38;2017/11/22;20:30;U18 Elite;Home ;PalaCava;BC GATORS;OLIMPO BASKET ALBA A.S.D.;
39;2017/11/25;15:00;U14 Reg;Home ;PalaCava;BC GATORS;A.S.D. PALL. FARIGLIANO;
40;2017/11/25;16:45;CSI Juniores;Away;;PGS VICTORIA ALBA ROSSO ;BC GATORS ;
41;2017/11/25;17:00;U18 Elite;Away;;LIB. MONCALIERI;BC GATORS;
42;2017/11/25;21:00;C Silver;Home ;PalaGiolitti - B;BC GATORS;EIS GINNASTICA TORINO;
43;2017/11/27;18:00;Aquilotti;Away;;MB ABET Bra 08;MB Saluzzo;
44;2017/11/27;18:45;CSI Juniores;Home ;PalaGiolitti - B;BC GATORS ;MONDOVI;
45;2017/11/27;20:30;U20 Reg;Home ;PalaGiolitti - A;BC GATORS;A.S.D. CESTISTICA PINEROLO 87;
46;2017/11/28;19:30;U13 Reg;Home ;PalaGiolitti - B;BC GATORS;ABET BRA;
47;2017/11/29;19:30;U16 Eccellenza;Home ;PalaGiolitti - A;BC GATORS;NOVIPIU' CASALE;
48;2017/11/30;19:15;U18 Elite;Home ;PalaCava;BC GATORS;A.S. DIL. PGA T.W.B.;
49;2017/12/02;17:00;U14 Reg;Away;;FARMACIA INT. PINEROLO 87;BC GATORS;
50;2017/12/02;17:00;U16 Eccellenza;Home ;PalaCava;BC GATORS;COLLEGE BASKETBALL;
51;2017/12/02;17:30;U13 Reg;Away;;AMATORI BASKET SAVIGLIANO ASD;BC GATORS;
52;2017/12/02;21:15;C Silver;Away;;A.DIL. ARONA BASKET;BC GATORS;
53;2017/12/03;11:00;CSI Ragazzi;Away;;GRANDA COLLEGE UNDER 14 2004 ;BC GATORS ;
54;2017/12/03;17:15;U20 Reg;Away;;G.S.DIL. ROSTA;BC GATORS;
55;2017/12/04;19:45;U18 Elite;Away;;A.S.D. B.E.A. Chieri;BC GATORS;
56;2017/12/06;18:45;CSI Ragazzi;Home ;PalaCava;BC GATORS ;ABET BRA;
57;2017/12/07;18:30;Aquilotti;Away;;MB GATORS Verdi;MB Saluzzo;
58;2017/12/07;18:45;CSI Allievi;Home ;PalaCava;BC GATORS ;PROMOSPORT BOVES;
59;2017/12/09;16:45;U14 Reg;Away;;A.S.D. G.S. MONVISO 1979;BC GATORS;
60;2017/12/09;18:30;U16 Eccellenza;Away;;A.S.D. COLLEGNO BASKET;BC GATORS;
61;2017/12/09;21:00;C Silver;Home ;PalaGiolitti - B;BC GATORS;VIMARK CUNEO;
62;2017/12/13;20:30;U18 Elite;Home ;PalaGiolitti - B;BC GATORS;C.R.F. FOSSANO;
63;2017/12/14;19:15;CSI Ragazzi;Away;;ACAJA BASKETBALL SCHOOL ;BC GATORS ;
64;2017/12/15;17:45;Esordienti;Home ;PalaGiolitti - B;BC GATORS;MB AB Savigliano Bianchi;
65;2017/12/15;20:00;CSI Allievi;Away;;TOWERS CEVA ;BC GATORS ;
66;2017/12/16;15:00;U14 Reg;Home ;PalaGiolitti - B;BC GATORS;OLIMPO BASKET ALBA;
67;2017/12/16;17:00;U16 Eccellenza;Home ;PalaGiolitti - B;BC GATORS;CUS GENOVA A.S. DIL.;
68;2017/12/16;18:00;C Silver;Away;;LETTERA 22 A.S.D.;BC GATORS;
69;2017/12/17;11:00;U13 Reg;Away;;ASD B.C. GATORS - SAVIGLIANO;BC GATORS;
70;2017/12/18;20:00;CSI Allievi;Away;;PALLACANESTRO FARIGLIANO ;BC GATORS ;
71;2017/12/19;18:00;U13 Reg;Home ;PalaGiolitti - B;BC GATORS;ABET LANTEK BRA;
72;2017/12/19;19:00;U16 Eccellenza;Away;;DERTHONA BASKETBALL LAB;BC GATORS;
73;2017/12/19;19:30;U20 Reg;Away;;A.BASKET CARMAGNOLA A.S.DIL.;BC GATORS;
74;2017/12/21;19:15;U18 Elite;Home ;PalaGiolitti - B;BC GATORS;A.S.D. VALENZA BASKET;
75;2018/01/06;21:00;C Silver;Home ;PalaGiolitti - A;BC GATORS;TAVERNA LUDWIG O.A.S.I.;
76;2018/01/08;18:45;CSI Allievi;Home ;PalaGiolitti - B;BC GATORS ;VIRTUS BASKET FOSSANO;
77;2018/01/10;18:45;CSI Ragazzi;Home ;PalaGiolitti - A;BC GATORS ;GATORS MO.TO.CAR.VIP;
78;2018/01/11;18:45;CSI Juniores;Home ;PalaGiolitti - B;BC GATORS ;PGS VICTORIA ALBA ROSSO ;
79;2018/01/13;15:30;U18 Elite;Away;;A. DIL. VENARIA REALE PALL.;BC GATORS;
80;2018/01/13;16:15;CSI Juniores;Away;;BAR DEL PESO;BC GATORS ;
81;2018/01/13;17:00;U16 Eccellenza;Home ;PalaGiolitti - B;BC GATORS;ASD PALLACANESTRO VADO;
82;2018/01/13;17:00;U14 Reg;Away;;A.S.DIL. BASKET CLUB MONDOVI;BC GATORS;
83;2018/01/13;21:00;C Silver;Away;;ASD BASKET CLUB VERCELLI RICES;BC GATORS;
84;2018/01/14;20:00;U20 Reg;Away;;LIB. MONCALIERI;BC GATORS;
85;2018/01/15;18:00;CSI Ragazzi;Away;;GATORS SAVIGLIANO ;BC GATORS ;
86;2018/01/15;18:00;Aquilotti;Away;;MB IGMB Cuneo/Borgo;MB Saluzzo;
87;2018/01/16;19:15;U13 Reg;Home ;PalaGiolitti - A;BC GATORS;ASD ACAJA BASKETBALL SCHOOL;
88;2018/01/18;18:45;CSI Juniores;Home ;PalaGiolitti - A;BC GATORS ;PROMOSPORT VIGNOLO ARANCIO;
89;2018/01/19;16:00;U13 Reg;Away;;A.S.C. SAVIGLIANO BK DIL. B;BC GATORS;
90;2018/01/19;17:00;Esordienti;Away;;MB VIRTUS Fossano;BC GATORS;
91;2018/01/19;21:15;C Silver;Away;;ASD NUOVA PALL. GHEMME;BC GATORS;
92;2018/01/20;17:00;U16 Eccellenza;Home ;PalaCava;BC GATORS;A.S.D. CUNEO GRANDA BASKETBALL;
93;2018/01/20;18:00;U18 Elite;Away;;A.S.DIL. KOLBE;BC GATORS;
94;2018/01/21;11:00;CSI Allievi;Away;;CUNEO GRANDA BASKET ALLIEVI 2002 ;BC GATORS ;
95;2018/01/22;20:30;U20 Reg;Home ;PalaCava;BC GATORS;U.S. CONDOVE ASD;
96;2018/01/23;19:00;U14 Reg;Home ;PalaCava;BC GATORS;A.BASKET CARMAGNOLA A.S.DIL.;
97;2018/01/24;18:45;CSI Ragazzi;Home ;PalaCava;BC GATORS ;GRANDA COLLEGE UNDER 14 2005;
98;2018/01/24;20:30;U18 Elite;Home ;PalaCava;BC GATORS;POL.DIL. ATLAVIR;
99;2018/01/24;20:45;CSI Juniores;Away;;PROMOSPORT VIGNOLO ARANCIO ;BC GATORS ;
100;2018/01/25;18:45;CSI Allievi;Home ;PalaGiolitti - A;BC GATORS ;PROMOSPORT CUNEO;
101;2018/01/25;21:00;Promo;Away;;ALBER TEAM A.S.D.;A.D. MARCHESATO EAGLES;
102;2018/01/27;15:00;U13 Reg;Home ;PalaGiolitti - A;BC GATORS;ASD B.C. GATORS - RACCONIGI;
103;2018/01/27;15:15;CSI Juniores;Away;;MONDOVI;BC GATORS ;
104;2018/01/27;21:00;C Silver;Home ;PalaGiolitti - B;BC GATORS;GALUP PINEROLO 87;
105;2018/01/28;11:15;U14 Reg;Away;;ASD B.C. GATORS;BC GATORS;
106;2018/01/29;20:30;U20 Reg;Home ;PalaGiolitti - B;BC GATORS;ABET BRA;
107;2018/01/30;21:30;CSI Open;Away;;Ciuff Team Treiso;BC GATORS;
108;2018/01/31;20:30;U16 Eccellenza;Away;;PALL. MONCALIERI S MAURO ssdrl;BC GATORS;
109;2018/02/01;17:45;Aquilotti;Home ;PalaGiolitti - B;MB Saluzzo;MB ABET Bra 08;
110;2018/02/02;21:00;Promo;Home ;PalaGiolitti - A;A.D. MARCHESATO EAGLES;BASKET 86 ORBASSANO;
111;2018/02/02;21:15;C Silver;Away;;A.D. USAC RIVAROLO BK 2009;BC GATORS;
112;2018/02/03;15:00;U13 Reg;Home ;PalaGiolitti - B;BC GATORS;A.S.DIL. BASKET CLUB MONDOVI;
113;2018/02/03;17:00;U16 Eccellenza;Home ;PalaGiolitti - A;BC GATORS;AUXILIUM PALLACANESTRO TORINO;
114;2018/02/03;18:00;U14 Reg;Away;;A.S.D. PALL. FARIGLIANO;BC GATORS;
115;2018/02/05;18:45;CSI Allievi;Home ;PalaGiolitti - B;BC GATORS ;CARAGLIO GOMME;
116;2018/02/05;21:00;CSI Open;Home ;PalaGiolitti - A;BC GATORS;Cestistica Cherasco DIME;
117;2018/02/06;19:45;U20 Reg;Away;;AMATORI BASKET SAVIGLIANO ASD;BC GATORS;
118;2018/02/07;20:30;U18 Elite;Home ;PalaGiolitti - A;BC GATORS;LIB. MONCALIERI;
119;2018/02/09;16:00;Esordienti;Away;;MB AB Savigliano Rossi;BC GATORS;
120;2018/02/09;21:15;Promo;Away;;SOGIT ROSTA;A.D. MARCHESATO EAGLES;
121;2018/02/10;15:00;U14 Reg;Home ;PalaGiolitti - A;BC GATORS;FARMACIA INT. PINEROLO 87;
122;2018/02/10;15:00;U13 Reg;Away;;A.S.C. SAVIGLIANO BK DIL. A;BC GATORS;
123;2018/02/10;16:00;U16 Eccellenza;Away;;LETTERA 22 A.S.D.;BC GATORS;
124;2018/02/10;21:00;C Silver;Home ;PalaGiolitti - A;BC GATORS;AMATORI BASKET SAVIGLIANO ASD;
125;2018/02/11;11:00;CSI Ragazzi;Away;;PGS VICTORIA ALBA ;BC GATORS ;
126;2018/02/11;11:00;Esordienti;Away;;MB IGMB Beinette;MB Saluzzo;
127;2018/02/12;18:30;U18 Elite;Away;;OLIMPO BASKET ALBA A.S.D.;BC GATORS;
128;2018/02/12;20:30;U20 Reg;Home ;PalaGiolitti - B;BC GATORS;A.S.DIL. GINNASTICA TORINO;
129;2018/02/15;17:45;Aquilotti;Home ;PalaGiolitti - A;MB Saluzzo;MB GATORS Verdi;
130;2018/02/15;21:15;U18 Elite;Away;;A.S. DIL. PGA T.W.B.;BC GATORS;
131;2018/02/16;21:00;CSI Open;Away;;Promosport Cuneo;BC GATORS;
132;2018/02/16;21:15;Promo;Away;;A.DIL. GIAVENO BASKET;A.D. MARCHESATO EAGLES;
133;2018/02/17;15:00;U14 Reg;Home ;PalaGiolitti - B;BC GATORS;A.S.D. G.S. MONVISO 1979;
134;2018/02/17;17:00;U13 Reg;Home ;PalaGiolitti - A;BC GATORS;A.S.D. PALL. FARIGLIANO;
135;2018/02/17;21:00;C Silver;Home ;PalaGiolitti - B;BC GATORS;ASD S.E.A. BK SETTIMO TORINESE;
136;2018/02/18;09:30;CSI Allievi;Away;;CUNEO GRANDA BASKET ALLIEVI 2003;BC GATORS ;
137;2018/02/18;16:00;U16 Eccellenza;Away;;BLU SEA BASKET;BC GATORS;
138;2018/02/19;18:45;CSI Allievi;Home ;PalaGiolitti - A;BC GATORS ;PALLACANESTRO FARIGLIANO;
139;2018/02/21;18:45;CSI Ragazzi;Home ;PalaGiolitti - B;BC GATORS ;GRANDA COLLEGE UNDER 14 2004;
140;2018/02/21;19:00;U20 Reg;Away;;A.S.D. CESTISTICA PINEROLO 87;BC GATORS;
141;2018/02/23;21:00;Promo;Home ;PalaGiolitti - B;A.D. MARCHESATO EAGLES;U.S. CONDOVE ASD;
142;2018/02/24;17:00;U16 Eccellenza;Home ;PalaGiolitti - B;BC GATORS;PGS DON BOSCO CROCETTA A.S.D.;
143;2018/02/24;21:00;C Silver;Away;;SERRAVALLE RETAIL PARK;BC GATORS;
144;2018/02/25;16:00;CSI Juniores;Away;;Gators;BC GATORS ;
145;2018/02/26;20:30;U20 Reg;Home ;PalaCava;BC GATORS;G.S.DIL. ROSTA;
146;2018/02/26;21:00;CSI Open;Home ;PalaCava;BC GATORS;Mondovi;
147;2018/02/28;17:30;CSI Allievi;Away;;PROMOSPORT BOVES;BC GATORS ;
148;2018/03/01;18:15;CSI Ragazzi;Away;;ABET BRA;BC GATORS ;
149;2018/03/03;15:00;U14 Reg;Home ;PalaGiolitti - A;BC GATORS;A.S.D.PALL. CHIVASSO;
150;2018/03/03;17:00;U16 Eccellenza;Home ;PalaGiolitti - B;BC GATORS;BANCA SELLA BIELLA;
151;2018/03/03;21:00;C Silver;Home ;PalaCava;BC GATORS;A.S.DIL. KOLBE;
152;2018/03/04;18:30;Promo;Away;;PGS REBA BASKET A. DIL.;A.D. MARCHESATO EAGLES;
153;2018/03/04;;MINIBASKET;Away;;Raduno SCOIATTOLI a Cuneo;;
154;2018/03/05;18:45;CSI Allievi;Home ;PalaGiolitti - A;BC GATORS ;TOWERS CEVA ;
155;2018/03/07;18:45;CSI Ragazzi;Home ;PalaGiolitti - B;BC GATORS ;ACAJA BASKETBALL SCHOOL ;
156;2018/03/07;19:00;U18 Elite;Away;;A.S. D.TIGULLIO SPORT TEAM;BC GATORS;
157;2018/03/09;19:30;U16 Eccellenza;Away;;NOVIPIU' CASALE;BC GATORS;
158;2018/03/09;21:00;Promo;Home ;PalaCava;A.D. MARCHESATO EAGLES;DON BOSCO RIVOLI;
159;2018/03/09;21:15;C Silver;Away;;EIS GINNASTICA TORINO;BC GATORS;
160;2018/03/09;21:15;CSI Open;Away;;Gs Monviso 1979;BC GATORS;
161;2018/03/10;17:00;U13 Reg;Home ;PalaCava;BC GATORS;AMATORI BASKET SAVIGLIANO ASD;
162;2018/03/11;09:00;Esordienti;Away;;MB AB Savigliano Bianchi;MB Saluzzo;
163;2018/03/11;11:00;U14 Reg;Away;;BASKET GALLIATE A.S.D.;BC GATORS;
164;2018/03/11;17:30;CSI Juniores;Away;;Basket Cairo;BC GATORS ;
165;2018/03/12;18:45;CSI Ragazzi;Away;;GATORS MO.TO.CAR.VIP;BC GATORS ;
166;2018/03/12;20:30;U20 Reg;Home ;PalaGiolitti - A;BC GATORS;A.BASKET CARMAGNOLA A.S.DIL.;
167;2018/03/12;21:00;CSI Open;Home ;PalaGiolitti - B;BC GATORS;Basket Cairo;
168;2018/03/14;17:00;CSI Ragazzi;Away;;VIRTUS BASKET FOSSANO ;BC GATORS ;
169;2018/03/14;20:30;U18 Elite;Home ;PalaCava;BC GATORS;A.DIL. BASKET PEGLI;
170;2018/03/15;18:30;U13 Reg;Away;;ABET BRA;BC GATORS;
171;2018/03/15;18:45;CSI Juniores;Home ;PalaCava;BC GATORS ;Promosport Vignolo Azzurro;
172;2018/03/16;19:30;U16 Eccellenza;Away;;COLLEGE BASKETBALL;BC GATORS;
173;2018/03/17;15:00;CSI Allievi;Away;;VIRTUS BASKET FOSSANO;BC GATORS ;
174;2018/03/17;15:00;U14 Reg;Home ;PalaGiolitti - A;BC GATORS;MY GLASS CHIERI;
175;2018/03/17;21:00;C Silver;Home ;PalaGiolitti - B;BC GATORS;A.DIL. ARONA BASKET;
176;2018/03/18;20:00;Promo;Away;;AD 011 BASKET TORINO;A.D. MARCHESATO EAGLES;
177;2018/03/18;;MINIBASKET;Away;;Raduno SCOIATTOLI a Fossano;;
178;2018/03/19;18:45;CSI Allievi;Home ;PalaCava;BC GATORS ;CUNEO GRANDA BASKET ALLIEVI 2002 ;
179;2018/03/20;18:30;U13 Reg;Away;;ABET LANTEK BRA;BC GATORS;
180;2018/03/21;18:45;CSI Ragazzi;Home ;PalaCava;BC GATORS ;GATORS SAVIGLIANO ;
181;2018/03/22;20:00;U18 Elite;Away;;A.S. DIL. POL. DERTHONA BASKET;BC GATORS;
182;2018/03/23;17:45;Esordienti;Home ;PalaCava;;MB VIRTUS Fossano;
183;2018/03/23;18:15;CSI Juniores;Away;;Amatori Basket Savigliano ;BC GATORS ;
184;2018/03/23;21:00;Promo;Home ;PalaCava;A.D. MARCHESATO EAGLES;BUSSOLENO BASKET;
185;2018/03/23;21:30;CSI Open;Away;;Suv Farigliano;BC GATORS;
186;2018/03/24;15:00;U13 Reg;Home ;PalaGiolitti - A;BC GATORS;ASD B.C. GATORS - SAVIGLIANO;
187;2018/03/24;15:00;U14 Reg;Home ;PalaGiolitti - A;BC GATORS;PGS DON BOSCO CROCETTA A.S.D.;
188;2018/03/24;17:00;U16 Eccellenza;Home ;PalaGiolitti - A;BC GATORS;A.S.D. COLLEGNO BASKET;
189;2018/03/25;18:30;C Silver;Away;;VIMARK CUNEO;BC GATORS;
190;2018/03/26;18:45;CSI Juniores;Home ;PalaGiolitti - A;BC GATORS ;Pgs Victoria Alba Bianco;
191;2018/03/26;20:30;U20 Reg;Home ;PalaGiolitti - A;BC GATORS;DON BOSCO RIVOLI;
192;2018/03/26;21:00;CSI Open;Home ;PalaGiolitti - A;BC GATORS;Gs Monviso 1979;
193;2018/03/28;20:30;U18 Elite;Home ;PalaGiolitti - A;BC GATORS;A.S.D. PALLACANESTRO CIRIE';
194;2018/03/30;21:30;CSI Open;Away;;Cestistica Cherasco DIME;BC GATORS;
